table	query	scanstep
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	32
1	7	0
1	8	0
1	9	0
1	10	0
1	11	0
1	12	327
1	13	80
2	0	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	48
2	7	48
2	8	0
2	9	0
2	10	0
2	11	0
2	12	16
2	13	160
3	0	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	64
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	20
3	13	0
4	0	0
4	1	0
4	2	0
4	3	0
4	4	0
4	5	0
4	6	320
4	7	0
4	8	0
4	9	0
4	10	160
4	11	0
4	12	0
4	13	0
5	0	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	36
5	8	0
5	9	0
5	10	0
5	11	0
5	12	218
5	13	0
6	0	0
6	1	0
6	2	0
6	3	0
6	4	2
6	5	650
6	6	0
6	7	268
6	8	0
6	9	0
6	10	0
6	11	300
6	12	586
6	13	0
7	0	0
7	1	0
7	2	5274
7	3	0
7	4	0
7	5	0
7	6	400
7	7	0
7	8	18
7	9	0
7	10	0
7	11	0
7	12	0
7	13	0
8	0	0
8	1	586
8	2	586
8	3	1172
8	4	586
8	5	586
8	6	0
8	7	586
8	8	586
8	9	0
8	10	0
8	11	1100
8	12	0
8	13	0
